Mother Teresa World School,"663, Ognej Circle, Vadsar, Sarkhej Gandhinagar Highway, Ahmedabad - 380055, Near Airforce Station",+(91)-79-30925850,http://www.motherteresaschools.in,2012,4.2,"Schools , Boarding Schools"
Angel School,"100/1, Naresh Building, Maninagar, Ahmedabad - 380008, Opposite L G Hospital",+(91)-79-30932969,http://www.angelschool.co.in,1982,4.3,"Schools , English Medium Schools , Playgroups , Day Care Centres , Gujarati Medium Schools , Summer Camps , International Schools , Gseb Schools , Nursery Schools , Kindergartens , IGCSE Schools , Yoga Teacher Training Institutes , Teacher Training Institutes , Schools For Higher Secondary , Public Schools , Schools Nursery To X , Schools Nursery To VII"
Shanti Asiatic School,"200 Feet Ring Road, Bopal, Ahmedabad - 380058, Opposite Vraj Gardens",+(91)-79-33212434,http://www.shantiasiatic.org,2000,4.1,"Schools , CBSE Schools , English Medium Schools"
R P Vasani International School,"Nikol Naroda Road, Nava Naroda, Ahmedabad - 382330, Behind Radheshyam Residency, Near Suyog 99, Oppo...",+(91)-79-33014932,http://www.rpvis.org,2014,4.3,"CBSE Schools , Schools , English Medium Schools , Nursery Schools , Kindergartens"
Bright School,"Mangal Vidyalay School Campus, Ellis Bridge, Ahmedabad - 380006, Near Mithakhali Bus Stop",+(91)-79-30491971,http://www.brightschool.in,,3.6,"Schools , Playgroups , English Medium Schools , Day Care Centres , Kindergartens , Nursery Schools"
Euro Kids,"14, Dungarshree Nagar 1, Anjali Cross Road, Paldi, Ahmedabad - 380007, Near Sheth Hospital",+(91)-79-30495454,,2002,4.0,"Schools , Playgroups , Kindergartens , Nursery Schools"
Anand Niketan School,"Plot No 495, Thaltej Shilaj Road, Opposite Aryaman Bungalow, Shilaj, Ahmedabad - 380058, Near Ambli ...",+(91)-79-33012959,http://www.anandniketan.org,1997,4.2,"Schools , Playgroups , ICSE Schools , International Schools , Kindergartens , Nursery Schools , Schools For Higher Secondary , Schools Nursery To X"
Brightstart Pre School,"B 26, Himmatlalpark Society, Satellite, Ahmedabad - 380015, Near Azad Society, Opposite Bimanagar",+(91)-79-33015840,http://www.thebrightstart.com,2008,4.6,"Schools , English Medium Schools , Playgroups , Gseb Schools , Nursery Schools , Kindergartens"
Muktajivan English School,"Maninagar, Ahmedabad - 380008, Near Avkar Hall & Daxini Society, Under Daxini Bridge",+(91)-79-30491666,http://www.muktjivanschools.com,2005,3.7,"Schools , English Medium Schools , Gseb Schools , Kindergartens"
Sattvavikas School,"Sattvavikas School, Near Sindhu Bhavan, Thaltej, Ahmedabad - 380059, Thaltej",+(91)-79-30234385,http://www.sattvavikas.com,2003,3.8,"CBSE Schools , Schools , English Medium Schools , Gseb Schools , Nursery Schools , Kindergartens , Schools For Higher Secondary , Schools Nursery To X , School For Boys"
St Anns School,"185, Sterling City, Bopal, Ahmedabad - 380058, Opposite Neelkanth Orchid Flat",+(91)-79-30492176,http://www.stannsschool.in,2000,3.6,"CBSE Schools , Schools , English Medium Schools , Playgroups , Gseb Schools , Nursery Schools , Kindergartens , Schools For Higher Secondary , Public Schools , Schools Nursery To X , Schools Nursery To VII"
Euro Kids,"1, Ashiana Bungalows Part 2, Premchand Nagar Road, Vastrapur, Ahmedabad - 380015, Opposite Judges Bu...",+(91)-79-30495451,,1961,4.2,"Schools , Playgroups , Kindergartens , Nursery Schools"
EuroKids,"3, Surya Narayan Bunglows, Science City Road, Sola Road, Ahmedabad - 380061, Near R K Royal Hall , O...","+(91)-79-30236976 , 18002095656",http://www.eurokidsindia.com,2008,3.7,"Schools , Playgroups , Nursery Schools , Kindergartens"
St Marys Higher Secondary School,"Gota Vadsar Road, Ognaj, Ahmedabad - 380060, Near Vasant Nagar & Ahmedabad Institute of Technology",+(91)-79-33013767,,2003,5.0,"Schools , Playgroups , English Medium Schools , Kindergartens , Gseb Schools , Nursery Schools , Schools For Higher Secondary , Schools Nursery To X , Schools Nursery To VII"
EuroKids,"25, Ravish Bunglows, Thaltej Hebatpur Road, Thaltej, Ahmedabad - 380059, Opposite Mahila ITI College...","+(91)-79-30236357 , 18002095656",http://www.eurokidsindia.com,2006,3.5,"Schools , Playgroups , Nursery Schools , Kindergartens"
Little Wings A Child Care Initiative & Academy,"Ghuma Bopal Road, Bopal, Ahmedabad - 380058, Near Kabir Enclave",+(91)-79-33010628,http://ww.littlewings.net,2014,3.9,"Schools , Language Classes For English , Playgroups , Personality Development Institutes , Activity Class , Language Classes , Nursery Schools , Personality Development , Language Classes For English For Children , Institutes For Skill Development , Tutorials For English , Institutes For Self Development , Tutorials For KG"
Ankur Higher Secondary School,"ANKUR ENGLISH SCHOOL, KRISHNANAGAR, Krishna Nagar, Ahmedabad - 382345, NR. MARUTI PLAZA",+(91)-79-30492714,,1999,3.8,"Schools , English Medium Schools , Gujarati Medium Schools , Schools For Higher Secondary , Schools Nursery To X , Schools Nursery To VII"
Euro Kids,"Plot No 1/A, Asha Society, Sanad Sarkhej Highway, Sanand Ho, Sanand - 382110, Near Police Station",+(91)-79-30925116,,2013,3.5,"Schools , Playgroups , Nursery Schools , Kindergartens"
Hello Kids Nalanda,"A 14, C P Nagar Part 2, Ghatlodia, Ahmedabad - 380061, Opposite Arjun Tower",+(91)-79-33014907,http://www.hellokids.co.in,2014,5.0,"Schools , Dance Classes , English Medium Schools , Playgroups , Summer Camps , Nursery Schools , Arts & Crafts Classes , Hobby Classes , Kindergartens , Drawing Class , Arts & Crafts Classes For Children"
Euro Kids,"21, Krishnavan Society, 1st Floor, Ankur Road, Kameshwar Mahadev Cross Road, Naranpura, Ahmedabad - ...",+(91)-79-30236318,http://www.tejasvisuperkids.com,2001,4.0,"Schools , Playgroups , Summer Camps , Day Care Centres , Nursery Schools , Kindergartens"
Rainbow Playhome,"A 1, DEV City, R C Technical Institute Road, Ghatlodia, Ahmedabad - 380061, Behind Dishant Petrol Pump",+(91)-79-30492498,http://www.rainbowpreschool.co.in,2001,4.5,"Schools , Playgroups , Kindergartens , Nursery Schools"
Earth School,"Ioc Road, Chandkheda, Ahmedabad - 382424, Behind Satyamev Hospital, Opposite Aaradhya Home, Jundal, ...",+(91)-79-33021223,,2015,3.5,"Schools , English Medium Schools , Playgroups , Gujarati Medium Schools , Kindergartens"
Euro Kids,"31, Mayurpankh Society, Pintoo Garments Lane, Manekbag, Ahmedabad - 380015, Opp. Shri Shriravishanka...",+(91)-79-30495452,,2002,4.2,"Schools , Playgroups , Nursery Schools , Kindergartens"
Ruth Memorial School,"Vasna Barrage Road, Vasna, Ahmedabad - 380007",+(91)-79-30234390,,1981,4.0,"Schools , English Medium Schools , Gseb Schools , Nursery Schools , Kindergartens , Schools Nursery To X , Schools Nursery To VII"
Euro Kids,"26, Goplani Tenament, Kubernagar, Ahmedabad - 382340, Opposite Tulsi Apartment",+(91)-79-30495150,http://www.eurokidsindia.com,2012,4.0,"Schools , Playgroups , Nursery Schools , Kindergartens"
Kendriya Vidyalaya No 2,"Air Port Road, Shahibaug, Ahmedabad - 380004, Near Hanuman Camp, Near Daffnala",+(91)-79-22867681,http://www.kv2ahmedabad.org,,4.3,"Schools , CBSE Schools , English Medium Schools"
Nirman High School,"139, Shri V R Shah Smruti Shikshan Mandir, Vasna, Ahmedabad - 380007, Behind Yogeshwar Nagar Society...","+(91)-79-26614006 , 26614007",http://www.nirmanhighschool.com,,3.1,"Schools , CBSE Schools , English Medium Schools , Nursery Schools"
M K Secondary & Higher Secondary School,"Gls Campus, Off C G Road, Maradia Plaza Lane, Ellis Bridge, Ahmedabad - 380006, Opposite Law Garden","+(91)-79-26445634 , +(91)-9825727314",http://www.mkgls.org,,4.0,"Schools , Gujarati Medium Schools , Gseb Schools"
Vedant International School,"JAY Krishna Society, Jaymala Cross Road, Isanpur, Ahmedabad - 382443, Opposite Forensic School, Oppo...","+(91)-79-32911181 , +(91)-9825335969",http://www.vedantinternationalschool.org,,3.9,"Schools , CBSE Schools , English Medium Schools , Kindergartens"
A G High School,"Commerce Cross Road, Navrangpura, Ahmedabad - 380009, Opposite L D Arts College","+(91)-79-26443172 , 26464626",http://www.aghighschool.ac.in,,3.7,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Nirman High School,"C G Road, Panchwati, Ahmedabad - 380015, Near Centre Point Circle, Opposite Havmor Restaurant","+(91)-79-26445100 , +(91)-9898186307 , 26446100 , 40023945 , 40023946",,,3.9,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
H B Kapadia New High School,"Prernatirth Jain Temple Road, Satellite, Ahmedabad - 380015, Opposite Rosewood Estate","+(91)-79-26926926 , 26928928",http://www.hbkapadia.com,,3.6,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Divine Buds School,"Uttamnagar, Maninagar, Ahmedabad - 380008, Opposite Hirabhai Tower, Near Prasang Party Plot",+(91)-79-25466242,http://www.divinebuds.com,,4.3,"Schools , Gujarati Medium Schools , University Admission Guidance , Admission Counselling For MBA , Schools For Secondary"
Nelsons High School,"Punit Ashram Road, Maninagar, Ahmedabad - 380008, Oppoiste SBI Bank, Near Punit Ashram, L G Corner","+(91)-79-25461788 , 25469616",http://www.nelsonschool.com,,3.7,"Schools , English Medium Schools , Gseb Schools"
Mount Carmel School,"Bhavans College Road, Khanpur, Ahmedabad - 380001, Near Cama Hotel",+(91)-79-25601986,,,4.3,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools , Girls Schools"
Ankur High School,"Paldi, Ahmedabad - 380007, Opposite Jain Merchant Society, Fatehpura","+(91)-79-26639888 , 26639666 , 26639777",,,4.2,"Schools , Gujarati Medium Schools , Gseb Schools"
Diwan Ballubhai High School,"Kankaria, Ahmedabad - 380022, Behind Abad Dairy, Opposite Vanijya Bhavan","+(91)-79-25465758 , 25452811",http://www.diwanballubhai.org,,4.3,"Schools , Gujarati Medium Schools , Gseb Schools"
Cosmos Castle International School,"Plot No 598/1, Makarba Mamadpura Cross Road, Sarkhej Gandhinagar Highway, Ahmedabad - 380055, Opposi...","+(91)-79-65209779 , +(91)-9327000520 , 9327070150",http://www.cosmoscastleschool.com,,3.9,"CBSE Schools , Schools , English Medium Schools , Playgroups , Nursery Schools , Kindergartens"
Best Higher Secondary School,"Bhairavnath Cross Road, Maninagar, Ahmedabad - 380008, Near Bhairavnath Bus Stop, Kankaria","+(91)-79-25433840 , 25430900",,,4.1,"Schools , English Medium Schools , Gseb Schools"
Tripada International School,"Madhuvrund Society, Ranna Park, Ahmedabad - 380061, Opposite Saumil Apartment, Near Madhuvrund Water...","+(91)-79-27477632 , 27435480",http://www.tripada.org,,4.2,"Schools , Playgroups , English Medium Schools , International Schools , Gseb Schools , IGCSE Schools"
Sharda Mandir School,"Paldi, Ahmedabad - 380007, Near New Sharda Mandir Road, Shreyas Railway Crossing",+(91)-79-26600242,,,3.9,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Amrita Vidyalayam,"C/O Mata Amritanandamayi Math, Plot No. 83, Jantanagar Road, Ghatlodia, Ahmedabad - 380061, Near Rev...","+(91)-79-27452009 , 27437375",http://www.amritavidyalayam.org,,4.3,"Schools , CBSE Schools , English Medium Schools , Kindergartens , Nursery Schools"
SOM Lalit School,"Navrangpura, Ahmedabad - 380009, Near Sardar Patel Stadium, Opposite Sadhana Colony, Behind Hindu Co...","+(91)-79-26469101 , 26469102",,,3.8,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools , Nursery Schools"
N R Primary School,"Gls Campus, Navrangpura, Ahmedabad - 380009, Near Law Garden","+(91)-79-26443126 , 26441544",,,4.0,"Schools , English Medium Schools , Gseb Schools"
Anand Niketan School,"3, Patel Society, Drive In Road, Thaltej, Ahmedabad - 380054, Opposite Gosha Society, Opposite JAY A...","+(91)-79-26850051 , +(91)-9737047611",http://www.anandniketan.org,,3.7,"Schools , English Medium Schools , Nursery Schools"
Global Indian International School,"Godrej Garden City, Sarkhej Gandhinagar Highway, Ahmedabad - 380055, Behind Nirma University, Jagatpur","+(91)-9737077723 , 9737077724 , 9737077725",http://www.giisahmedabad.org,,4.4,"Schools , CBSE Schools , Playgroups , English Medium Schools , Kindergartens"
Shree Tejendra Education And Research Foundation,"Naranpura, Ahmedabad - 380013, Behind Swaminarayan Temple, Next To Torrent Power Zonal Office, Near ...","+(91)-79-27491431 , +(91)-9712991431",,,4.1,"Schools , English Medium Schools , Gseb Schools , Nursery Schools"
Nishkal School Of Thoughts,"Nishkal Campus, Vijay Nagar Road, Naranpura, Ahmedabad - 380013, Near Subhlaxmi Tower","+(91)-79-27473130 , +(91)-9909906262 , 9909916262 , 27473131",http://www.nishkal.org,,4.0,"Schools , Playgroups , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools , Nursery Schools"
Kumkum Vidya School,"Ghodasar, Ahmedabad - 380050, Near Avkar Hall","+(91)-79-25465131 , 25463534",,,4.0,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools , Nursery Schools"
Shiv Ashish School,"C/O Shiv Ashish Foundation Trust, Plot No 1/75,76, Bopal, Ahmedabad - 380058, Inside Sterling City","+(91)-2717-645206 , +(91)-9879008575 , 9974703300",http://www.shivashish.com,,3.8,"Schools , CBSE Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Shayona International School,"Shayona City, Rc Technical Road, Ghatlodia, Ahmedabad - 380061","+(91)-79-27669933 , +(91)-7965499933",http://www.shayonainternationalschool.com,,3.9,"Schools , English Medium Schools , Gseb Schools"
St Marys Higher Secondary School,"Co Operative Housing Society, Naroda Nikol Road, Naroda, Ahmedabad - 382330, Near Adishwar Nagar, Ne...","+(91)-79-22811354 , 22801870",,,4.2,"Schools , Playgroups , English Medium Schools , Kindergartens , Nursery Schools"
Kendriya Vidyalaya,"ONGC Campus, Eastern Block, Chandkheda, Ahmedabad - 382424, Near Avani Bhavan","+(91)-79-23290733 , 23266095 , 23266720",http://www.kvongcchandkheda.org,,4.2,"Schools , CBSE Schools , English Medium Schools , Hindi Medium Schools"
Sakar English School,"New C G Road, Chandkheda, Ahmedabad - 382424, Opposite Swagat III","+(91)-79-23291866 , +(91)-9824002410 , 9824371443 , 23292314 , 30129708",http://www.sakarenglishschool.org,,4.0,"Schools , English Medium Schools , Kindergartens , Gseb Schools"
Lotus School,"Jodhpur Gam Cross Road, Satellite, Ahmedabad - 380015, Near Nandanvan Flat 2","+(91)-79-26921735 , +(91)-9898223767 , 26922069 , 26927666",http://www.lotuscampus.com,,4.0,"Schools , English Medium Schools , Schools For Higher Secondary , Schools For Secondary"
Rajasthan School,"Shahibaug Road, Shahibaug, Ahmedabad - 380004, Opposite Sahajanand Shopping Centre, Near Swaminaraya...","+(91)-79-25621635 , 25623690",http://www.rhhschool.org,,4.1,"Schools , English Medium Schools , Gseb Schools , Hindi Medium Schools"
R H Kapadia New High School,"Ramdev Nagar, Satellite, Ahmedabad - 380015, Opposite Nirgun Bungalow, Near Super Society","+(91)-79-26920026 , 26921045 , 40322445 , 40322446",http://www.rhkapadia.org,,3.9,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Ahmedabad Public School International,"Near Indira Bridge,Ahmedabad-Gandhinagar Road, Ahmedabad Gandhinagar Highway, Ahmedabad - 380012, Op...",+(91)-79-30247984,http://www.apsinternational.org,,3.9,"CBSE Schools , Schools , English Medium Schools , Playgroups , Kindergartens , Nursery Schools , Schools For Higher Secondary , Public Schools , Schools Nursery To X"
Nutan Prakash Vidyalaya,"Prakash High School Compound, Relief Road, Ahmedabad - 380001, Behind Chetna Hotel","+(91)-79-22161352 , +(91)-9824252978 , 22164582",,,4.0,"Schools , Gujarati Medium Schools , Gseb Schools"
Shri Durga School,"Radha Vallabh Colony, Maninagar, Ahmedabad - 380008, Shri R B Patel Chowk","+(91)-79-25460373 , 25461488 , 25463615",http://www.durgaschool.com,,4.4,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Kendriya Vidyalaya,"New Railway Colony, D Cabin Road, Sabarmati, Ahmedabad - 380005","+(91)-79-27500184 , 29098020",http://www.kvsabarmati.org,,3.9,"Schools , CBSE Schools , English Medium Schools , Hindi Medium Schools"
V R Shah Smruti High School,"Vasna, Ahmedabad - 380007, Opposite Dharnidhar Derasar","+(91)-79-26601871 , +(91)-9925619875 , 26601872 , 26601873",,,4.2,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools , Nursery Schools"
Shri Shri Ravishankar Vidya Mandir,"272, Mayurpankh Society, Shivranjani Cross Road, Satellite, Ahmedabad - 380015, Behind Shaligram Flats","+(91)-79-65421916 , +(91)-9327513736 , 26764220 , 65241916",http://www.ssrvm-ahd.org,,3.6,"Schools , Playgroups , Kindergartens , Nursery Schools"
IDP School,"Ahmedabad Gandhinagar Highway, Motera, Ahmedabad - 380005, Near Krishna Bunglow, Opposite Gharvakhri...","+(91)-79-27700951 , +(91)-9925235650 , 27700951",http://www.idpcampus.org,,4.1,"Schools , CBSE Schools , English Medium Schools , Kindergartens , Nursery Schools"
Hebron Education Trust,"1/2, Mahalaxmi Park Society, Maninagar East, Ahmedabad - 380008, Behind Maninagar Railway Station","+(91)-79-22162872 , 22162050",http://www.hebron-school.org,,4.2,"Schools , English Medium Schools , Kindergartens , Nursery Schools"
Behra Munga Shala Andhshala,"Ashram Road, Ahmedabad - 380009, Opposite Bata Show Room, Near Times Of India","+(91)-79-26586138 , 26579947",,,4.1,"Schools , Ngos , Welfare Organisations , Schools For Blind , Children Welfare Organisations , Institutions For Deaf & Dumb , Institutions For Blind , Welfare Organisation For Child Education , Institutions For Special Education Courses"
A One School,"Gurukul Road, Memnagar, Ahmedabad - 380052, Near Subhash Chowk","+(91)-79-27480785 , 27474092",,,4.1,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Delhi Public Pre School,"Shyamal Cross Road, Satellite, Ahmedabad - 380015, Beside Blue Bell School, Behind Manek Baug Societ...","+(91)-79-32457666 , +(91)-9727708903",http://www.dpsbopal.calorx.org,,4.2,"Schools , Playgroups , Kindergartens , Nursery Schools"
The Rosery School,"Shahibaug, Ahmedabad - 380004, Near Shahibaug Under Bridge,","+(91)-79-22868363 , +(91)-9979666781 , 9824256823 , 22861758",http://www.roseryschool.org,,4.0,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Divine Life English School,"Vasna Barrage Raod, Vasna, Ahmedabad - 380007, Near Vasna Bus Stand, Opposite Swaminarayan Temple","+(91)-79-26602954 , +(91)-9825015569 , 9924199593 , 32400800",,,4.1,"Schools , Playgroups , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools , Nursery Schools"
Navrang School,"Navrang Six Road, Navrangpura, Ahmedabad - 380009, Opposite Navdeep Hall","+(91)-79-27682515 , 27682514",http://www.navrangschool.com,,3.9,"Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Apple Global School,"Sarkhej Gandhinagar Highway, Ahmedabad - 380055, Opposite Wide Angle, Near Zarna Party Plot","+(91)-9227620181 , 9227253010",http://www.appleglobal.in,,3.8,"Schools , CBSE Schools , English Medium Schools , Kindergartens , Nursery Schools"
ST Anns School,"Sabarmati, Ahmedabad - 380005, Kabir Chowk",,,,3.9,"Schools , English Medium Schools , Gseb Schools , Kindergartens"
Vijaynagar Higher Secondary School,"Patrakar Colony, Vijaynagar Road, Naranpura, Ahmedabad - 380013, Behind Vijaynagar Bus Stop",+(91)-79-27437278,,,4.0,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
LML School,"Ognaj, Ahmedabad - 380060, Behind Lions Eye Hospital, Off Sardar Patel Ring Road, Ognaj Gam","+(91)-9925002155 , 9879610140",http://www.lmlschool.com,,4.2,"CBSE Schools , Schools , English Medium Schools , Playgroups , ICSE Schools , Nursery Schools , Kindergartens"
Nalanda Vidhyalaya,"Jantanagar Road, Ghatlodia, Ahmedabad - 380061, Behind Sambhavi Complex, Opposite Nityanandini Society","+(91)-79-27660213 , 27660062",,,3.9,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Shri Mirambika School,"Mirambika Road, Naranpura, Ahmedabad - 380013, Near Kids Corner","+(91)-79-27683582 , 27479050 , 27495887",http://www.srimirambikaschool.org,,3.9,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools , Nursery Schools"
Ski School,"Satellite, Ahmedabad - 380051, Near Kanchanbhoomi Appartment , Behind Sachin Tower",+(91)-79-30931316,,,3.0,"CBSE Schools , Schools , English Medium Schools , Playgroups , Nursery Schools , Kindergartens , Franchise Consultants For Playgroups , Schools Nursery To VII"
Anand Niketan School,"Jashoda Mehmadabad Highway, Hathijan, Ahmedabad - 382445, Opposite Bhaktidham Temple","+(91)-79-25431301 , +(91)-9924051800",http://www.anandniketanmaninagar.org,,3.8,"Schools , CBSE Schools , English Medium Schools , Kindergartens , Nursery Schools"
J L High School,"Maninagar, Ahmedabad - 380008, Opposite Parth Empire, Near Rambaug Police Station",+(91)-79-25461300,,,4.2,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Airport School,"Airport Colony, Sardar Nagar, Ahmedabad - 382475, Near Sardar Nagar, Opposite International Airpot","+(91)-79-22864175 , 22869014",,,4.3,"Schools , CBSE Schools , English Medium Schools , Kindergartens"
Anand Niketan School,"Airport Gandhinagar Road, Airport, Ahmedabad - 382475, Near Indira Bridge, Near Narmada Canal, Near ...",+(91)-9737047281,http://www.anandniketan.org,,4.1,"CBSE Schools , Schools , English Medium Schools , Nursery Schools , Kindergartens"
Sahajanand School,"Sahajanand College Campus, Ambavadi, Ahmedabad - 380015, Opposite Kamdhenu Complex","+(91)-79-26308647 , +(91)-9824250343 , 26300469",,,4.1,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Jay Somnath Higher Secondary School,"7, Soundarya Park Society, Khokhara Mehmadabad, Ahmedabad - 380008, Behind Methodist Church","+(91)-79-22774647 , +(91)-9898154138 , 22777021",,,4.2,"Schools , Gujarati Medium Schools , Gseb Schools"
Shree Sharda Vidya Mandir,"Bhuyangdev Cross Road, Memnagar, Ahmedabad - 380052, Near Arihant Nagar","+(91)-79-27480481 , +(91)-9227448495 , 8866461263 , 9712532778 , 27472216",,,4.0,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Gyanjyot Vidhyalay,"K K Nagar Road, Ghatlodia, Ahmedabad - 380061, Near Samarpan Tower, Prabhat Chowk",+(91)-79-27604183,,,4.0,"Schools , Playgroups , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Florescent Public School,"S G Highway Road, Thaltej, Ahmedabad - 380054, Near Cambay Five Star Hotel",+(91)-79-30496080,http://www.florescentpublicschool.org,,3.8,"Schools , CBSE Schools , Playgroups , English Medium Schools , Gujarati Medium Schools , International Schools , Gseb Schools , Nursery Schools , Schools For Higher Secondary , Public Schools , Schools Nursery To X , Schools Nursery To VII"
Skum School,"Plot No 709, Drive In Road, Ahmedabad - 380052, Behind TV Tower, Near Haveli Bunglows","+(91)-79-26854671 , +(91)-9426460661 , 26854672 , 26854673 , 26854674",,,4.1,"Schools , English Medium Schools , Gujarati Medium Schools , Boarding Schools , Schools For Higher Secondary , Schools Nursery To X"
Devasya International Public School,"Haridarshan Cross Road, Naroda Road, Nikol, Ahmedabad - 380024, Near Srusti Lavis, Opposite Shyam Vi...","+(91)-79-65252800 , +(91)-8155002701 , 8128781777 , 65252801",http://www.dipsnikol.org,,4.4,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Amardeep School,"P T College Road, Paldi, Ahmedabad - 380007, Opposite Sabar Flats, Near Narayan Nagar Post Office",+(91)-79-26633410,,,3.9,"Schools , Gujarati Medium Schools , Gseb Schools"
Sant Kabir High School,"Ahmedabad Ho, Ahmedabad - 380001",+(91)-9712486990,,,4.2,Schools
Mothers Pet Child Care Centre,"37, Chaitanya Society, Stadium Road, Navrangpura, Ahmedabad - 380009, Opposite Sardar Patel Statue","+(91)-79-26403594 , 26446240",http://www.motherspet.org,,4.1,"Schools , Playgroups , Kindergartens"
Divyapath Campus,"Gaurav Path, Memnagar, Ahmedabad - 380052, Off Aec Over Bridge, Off 132 Feet Ring Road, Near Sp Girl...","+(91)-79-27437392 , +(91)-9925170412 , 27437390",http://www.divyapathcampus.com,,3.9,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools , Kindergartens"
Sadhana English School,"Ellis Bridge, Ahmedabad - 380006, Opposite Pritam Nagar Akhada, Pritamnagar","+(91)-79-26579473 , 65216316 , 26575062",,,3.9,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
I D Patel Education Campus,"R C Technical Road, Sarkhej Gandhinagar Highway, Ghatlodia, Ahmedabad - 380061, Opposite Nirmal Towe...","+(91)-79-27662875 , +(91)-9925242860 , 9925242854",http://www.idpcampus.org,,4.3,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Vivekanand Hindi High School,"New Cotton Mill Road, Amraiwadi, Ahmedabad - 380026, Near Aec Zonal Office, Opposite Jantanagar","+(91)-79-22760641 , 22744395",,,3.7,"Schools , English Medium Schools , Gseb Schools , Hindi Medium Schools"
Vishwabharati School,"Vishwa Bharati Bhawan, Thaltej, Ahmedabad - 380054, Bhaikaka Nagar, Off S G Road","+(91)-79-26853291 , 26854795 , 26856830",,,3.8,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Kidzee,"32/A Yogasharam Co Op Housing Society Ltd Plot No 119, Nr Shyamal Cross Road, Satellite, Ahmedabad -...","+(91)-79-65134121 , +(91)-9979880260",http://www.kidzee.com,,3.9,"Schools , Playgroups , Kindergartens , Activity Class , Nursery Schools"
K H Modi Kindergarten,"University Road, Navrangpura, Ahmedabad - 380009, Opposite Dada Saheb Flat, Near Commerce Six Road","+(91)-79-26465653 , 26467844",http://www.aghighschool.ac.in,,3.7,"Schools , Kindergartens"
Shakti Vidhyalaya,"132 Feet Ring Road, Vejalpur, Ahmedabad - 380051, Near Rajiv Nagar, Under Shyama Prasad Bridge","+(91)-79-26734706 , +(91)-9825098615 , 9638460950",,,4.3,"Schools , Gujarati Medium Schools , Gseb Schools"
Bright English  Medium School,"Pushpkunj-Kankaria, Ahmedabad - 380028, Opposite Pushpakunj Bus Stop",+(91)-79-25432745,,,4.1,"Schools , English Medium Schools , Gseb Schools"
Shree Damubhai Shukla High School,"Paldi Cross Road, Paldi, Ahmedabad - 380007, Near Paldi Bus Stop, Near Patel Travels","+(91)-79-26587369 , +(91)-9825026779 , 26589832 , 26588860",,,4.3,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Shanti Educational Initiatives Limited,"Chiripal House, 4th Floor, Shivranjani Crossroad, Satellite, Ahmedabad - 380015, opp HP Petrol Pump",+(91)-9099990180,,,0.0,"CBSE Schools , Schools , English Medium Schools , Playgroups , Boarding Schools , Commerce Colleges , Gujarati Medium Schools , ICSE Schools , Colleges , International Schools , Gseb Schools , CBSE Boarding Schools , Arts Colleges , Nursery Schools , Hindi Medium Schools , Day Boarding Schools , IGCSE Schools , Kindergartens , Girls Boarding Schools , Girls Schools , Convent Schools , Schools For Higher Secondary , Boys Boarding Schools , Special Schools , Public Schools , CBSE Boarding Schools For Girls , Boys School , Kannada Medium Schools , IGCSE Boarding Schools , School For Boys , Schools Nursery To X , Schools Nursery To VII , Schools For Higher Secondary Hindi Medium , ICSE Boarding Schools"
DON Bosco English School,"Vastrapur Road, Jivraj Park, Ahmedabad - 380051, Near Vishwamitri Bus Stand","+(91)-79-26813560 , +(91)-8128399605",,,3.9,"Schools , English Medium Schools , Kindergartens , Gseb Schools"
